epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67957,3.52476,5.95807,2.72251,0,0,0,0,3.86949,5.30457,2.65807,5.13067e-05,5.13067e-05,5.13067e-05
2,18.5537,3.42924,5.84985,2.51997,0,0,0,0,3.8417,5.26975,2.52479,0.000101261,0.000101261,0.000101261
3,26.9514,3.39461,5.786,2.34866,0.00046,0.00135,0.00026,4e-05,3.7541,5.183,2.35928,0.000149157,0.000149157,0.000149157
4,35.5234,3.4292,5.67952,2.26801,0.00027,0.00223,0.00016,3e-05,3.73521,5.204,2.41219,0.000146734,0.000146734,0.000146734
5,43.4903,3.43357,5.61134,2.17693,0.00015,0.00283,9e-05,3e-05,3.78887,5.06883,2.32474,0.000143645,0.000143645,0.000143645
6,51.0944,3.37634,5.47768,2.14074,0.00028,0.00226,0.0002,6e-05,3.75601,5.13314,2.35992,0.000140556,0.000140556,0.000140556
7,59.2861,3.41507,5.44463,2.09807,0.24914,0.00047,0.00067,0.00035,3.77147,4.97791,2.28528,0.000137467,0.000137467,0.000137467
8,67.4678,3.40034,5.41015,2.09662,0.00018,0.00532,0.00035,7e-05,3.69946,5.00076,2.37447,0.000134378,0.000134378,0.000134378
9,75.8935,3.36859,5.30367,2.09679,0.29118,0.00047,0.00064,0.00018,3.71085,4.84596,2.37381,0.00013129,0.00013129,0.00013129
10,84.2475,3.29715,5.28409,2.07588,0.20509,0.00069,0.00023,6e-05,3.82751,4.78126,2.25917,0.000128201,0.000128201,0.000128201
11,92.2464,3.29833,5.24015,2.10018,0.36794,0.00022,0.00012,3e-05,3.73337,4.74399,2.38193,0.000125112,0.000125112,0.000125112
12,100.8,3.28128,5.15951,2.07288,0.00025,0.0138,0.0002,5e-05,3.70545,4.71869,2.33666,0.000122023,0.000122023,0.000122023
13,109.183,3.27877,5.15046,2.05926,0.00034,0.01641,0.00116,0.00039,3.76757,4.64997,2.2974,0.000118934,0.000118934,0.000118934
14,117.614,3.21114,5.08241,2.02167,0.32751,0.00157,0.00093,0.00044,3.72308,4.70571,2.38797,0.000115846,0.000115846,0.000115846
15,125.679,3.28309,5.06732,2.07129,0.1637,0.00433,0.00024,9e-05,3.76075,4.65537,2.33602,0.000112757,0.000112757,0.000112757
16,134.157,3.26329,5.06605,2.06502,0.38944,0.00047,0.00043,0.00012,3.72196,4.74293,2.32196,0.000109668,0.000109668,0.000109668
17,142.764,3.21196,5.05098,2.04854,0.41331,0.00204,0.00073,0.00024,3.73373,4.73615,2.34825,0.000106579,0.000106579,0.000106579
18,150.796,3.18159,4.97965,2.03033,0.3954,0.00168,0.00132,0.00019,3.76892,4.78688,2.36962,0.00010349,0.00010349,0.00010349
19,158.618,3.17981,4.99744,2.0373,0.00021,0.01317,0.00035,0.0001,3.77283,4.71293,2.3724,0.000100402,0.000100402,0.000100402
