epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.3677,2.42481,2.65407,2.01873,0,0,0,0,3.526,3.8511,4.61438,0,0,0
2,9.77559,3.07672,4.13315,2.76674,0.00333,1,0.06219,0.01244,3.50258,3.80375,4.48325,1.9802e-05,1.9802e-05,1.9802e-05
3,10.1799,1.27716,3.69234,2.46651,0.00333,1,0.03685,0.00737,3.4695,3.86746,4.47434,3.9208e-05,3.9208e-05,3.9208e-05
4,10.6144,3.10933,3.14018,2.6653,0.00333,1,0.02926,0.00293,3.40103,3.8864,4.48617,5.8218e-05,5.8218e-05,5.8218e-05
5,11.0478,1.90099,3.43942,2.15164,0,0,0,0,3.41997,3.92253,4.54989,7.6832e-05,7.6832e-05,7.6832e-05
6,11.5043,2.66482,3.16524,2.59806,0.00333,1,0.02764,0.00553,3.42468,4.04231,4.53934,9.505e-05,9.505e-05,9.505e-05
7,11.9574,1.76098,4.58259,2.22126,0.00333,1,0.03554,0.00711,3.06067,3.45384,4.25166,0.000112872,0.000112872,0.000112872
8,13.0332,2.4058,5.06478,2.36211,0.00333,1,0.4975,0.05473,3.0089,3.46051,4.245,0.000130298,0.000130298,0.000130298
9,13.5994,2.23683,5.77129,3.7416,0.00333,1,0.01716,0.00343,3.46629,3.71803,4.60153,0.000147328,0.000147328,0.000147328
10,14.1998,1.93366,6.62671,2.63062,0.00333,1,0.04146,0.00829,3.43774,3.67715,4.59885,0.000163962,0.000163962,0.000163962
11,14.7829,1.83478,4.64649,1.87889,0.00333,1,0.06219,0.00622,3.70077,3.94949,4.64367,0.0001802,0.0001802,0.0001802
12,15.371,2.9589,4.46308,2.55555,0.00333,1,0.01631,0.00163,3.65166,4.16884,4.51076,0.000196042,0.000196042,0.000196042
13,15.9582,3.25601,4.03809,2.9162,0.00333,1,0.01292,0.00129,3.45389,4.33479,4.06876,0.000211488,0.000211488,0.000211488
14,16.5381,3.31998,5.05221,3.29208,0.00333,1,0.01093,0.00109,3.69913,4.43202,4.44021,0.000226538,0.000226538,0.000226538
15,17.118,2.98316,4.60365,2.99388,0,0,0,0,3.57124,3.99631,5.47074,0.000241192,0.000241192,0.000241192
16,17.6936,2.54826,3.76659,2.6918,0.00333,1,0.00975,0.00195,3.82346,5.71401,5.31129,0.00025545,0.00025545,0.00025545
17,18.2783,3.43366,4.48901,3.28659,0.00333,1,0.01228,0.00123,3.42472,4.45858,5.36707,0.000269312,0.000269312,0.000269312
18,18.854,2.63242,4.3289,3.48622,0.00333,1,0.02163,0.00433,3.53985,5.20235,5.4055,0.000282778,0.000282778,0.000282778
19,19.4374,2.16699,2.71267,2.07449,0.00333,1,0.04146,0.01658,3.32224,4.69095,4.89861,0.000295848,0.000295848,0.000295848
20,20.0336,3.20445,3.35726,2.99956,0.00333,1,0.02117,0.00701,2.89564,4.31503,4.54064,0.000308522,0.000308522,0.000308522
21,20.696,2.4439,2.89704,2.23782,0.00333,1,0.01555,0.00466,2.57663,4.1869,4.2013,0.0003208,0.0003208,0.0003208
22,21.2581,1.01358,3.4585,1.37099,0.00333,1,0.01951,0.00522,1.79488,5.51845,3.79895,0.000332682,0.000332682,0.000332682
23,21.8818,2.10875,3.23455,2.00211,0.00333,1,0.02369,0.00676,2.72739,3.9744,4.00296,0.000344168,0.000344168,0.000344168
24,22.4634,2.80818,4.61861,4.12562,0.00333,1,0.01555,0.00369,2.7945,3.53558,4.34126,0.000355258,0.000355258,0.000355258
25,23.4688,3.08865,2.86421,2.34124,0.00333,1,0.02764,0.00628,2.64043,3.46173,4.23318,0.000365952,0.000365952,0.000365952
26,24.0326,2.00447,3.74939,2.48919,0.00333,1,0.05528,0.01136,2.65871,3.91592,3.7541,0.00037625,0.00037625,0.00037625
27,24.6275,2.03567,2.83078,2.05786,0.00333,1,0.01363,0.00627,2.75731,4.14629,4.27752,0.000386152,0.000386152,0.000386152
28,25.2198,0.98729,2.56771,1.3545,0.00333,1,0.02073,0.00504,2.7533,4.20319,4.12221,0.000395658,0.000395658,0.000395658
29,25.8005,2.19651,3.90243,3.04189,0.00333,1,0.03685,0.00974,3.81331,5.73295,9.12007,0.000404768,0.000404768,0.000404768
30,26.3791,3.5845,5.39424,3.71169,0.00333,1,0.4975,0.10212,3.70863,4.41743,7.5802,0.000413482,0.000413482,0.000413482
31,27.0047,2.70882,2.97993,3.075,0.00333,1,0.4975,0.14925,2.96279,5.29199,6.25627,0.0004218,0.0004218,0.0004218
32,27.6259,2.89304,3.15629,2.85451,0.00333,1,0.16583,0.08292,2.64666,7.81309,6.52841,0.000429722,0.000429722,0.000429722
33,28.2216,1.66451,3.36911,2.36927,0.00333,1,0.33167,0.03317,4.19379,7.77289,6.81343,0.000437248,0.000437248,0.000437248
34,28.8198,2.73975,2.79417,2.49651,0.00333,1,0.01579,0.00158,4.18196,4.50546,8.5713,0.000444378,0.000444378,0.000444378
35,29.399,4.33707,3.56234,4.4778,0.00333,1,0.08292,0.00829,3.43361,5.54539,6.84194,0.000451112,0.000451112,0.000451112
36,29.9724,1.37789,4.16668,1.91943,0.00333,1,0.06219,0.01702,2.67541,3.84095,4.72508,0.00045745,0.00045745,0.00045745
