epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2529,0.50796,0.3808,0.92515,0.92034,0.93612,0.93493,0.86818,0.46959,0.39357,0.88525,0.000251914,0.000251914,0.000251914
2,52.3903,0.52689,0.39029,0.93051,0.916,0.93955,0.9281,0.8549,0.48636,0.41996,0.88576,0.000503215,0.000503215,0.000503215
3,65.2387,0.54057,0.41358,0.93534,0.91486,0.91855,0.92563,0.84302,0.49466,0.46843,0.90345,0.000749442,0.000749442,0.000749442
4,77.9691,0.57093,0.43875,0.94315,0.92511,0.92913,0.92373,0.83945,0.51145,0.42599,0.90584,0.000746161,0.000746161,0.000746161
5,90.6368,0.57967,0.44856,0.95391,0.92454,0.93279,0.93369,0.85741,0.49082,0.43115,0.89348,0.000738548,0.000738548,0.000738548
6,103.242,0.5792,0.45784,0.95366,0.92053,0.93342,0.92743,0.8459,0.50533,0.43504,0.91154,0.000730935,0.000730935,0.000730935
7,116.181,0.58961,0.45504,0.95698,0.92308,0.94363,0.93134,0.84415,0.51803,0.43297,0.90113,0.000723321,0.000723321,0.000723321
8,128.865,0.57667,0.44642,0.95108,0.91765,0.93218,0.9239,0.84094,0.50932,0.44721,0.90879,0.000715708,0.000715708,0.000715708
9,141.494,0.57966,0.45233,0.95757,0.9178,0.93691,0.92531,0.8475,0.49548,0.40793,0.90124,0.000708095,0.000708095,0.000708095
10,154.065,0.57379,0.44012,0.94978,0.9097,0.93578,0.93638,0.84798,0.52536,0.43244,0.89641,0.000700482,0.000700482,0.000700482
11,166.748,0.57616,0.43178,0.9478,0.91607,0.92163,0.92602,0.84427,0.51224,0.44114,0.90929,0.000692869,0.000692869,0.000692869
12,179.411,0.57233,0.44063,0.94962,0.91353,0.92696,0.93353,0.85039,0.52365,0.43607,0.91681,0.000685256,0.000685256,0.000685256
13,192.057,0.56924,0.43355,0.94909,0.90325,0.94046,0.92445,0.84387,0.51434,0.4557,0.91589,0.000677643,0.000677643,0.000677643
14,204.854,0.56678,0.43832,0.94721,0.90335,0.92246,0.92358,0.84299,0.50751,0.43991,0.91998,0.00067003,0.00067003,0.00067003
15,217.654,0.56627,0.42879,0.94978,0.9277,0.93599,0.93601,0.85505,0.508,0.41007,0.90222,0.000662417,0.000662417,0.000662417
16,230.113,0.56715,0.4276,0.95475,0.90426,0.93653,0.94079,0.86411,0.50608,0.42358,0.90834,0.000654804,0.000654804,0.000654804
17,242.552,0.56311,0.42631,0.9437,0.90839,0.9284,0.93092,0.85507,0.49666,0.41519,0.89759,0.00064719,0.00064719,0.00064719
18,255.126,0.56732,0.42924,0.94943,0.91137,0.93499,0.92921,0.85222,0.50417,0.41085,0.91059,0.000639577,0.000639577,0.000639577
19,267.773,0.56323,0.42361,0.94549,0.91879,0.93439,0.92447,0.84326,0.49632,0.40204,0.91677,0.000631964,0.000631964,0.000631964
20,280.324,0.55617,0.42294,0.94275,0.91375,0.91816,0.93264,0.85278,0.49747,0.4272,0.89765,0.000624351,0.000624351,0.000624351
21,293.116,0.55892,0.4234,0.94742,0.9226,0.93193,0.93155,0.85857,0.50444,0.42528,0.9164,0.000616738,0.000616738,0.000616738
22,306.175,0.5535,0.41452,0.94077,0.91447,0.9311,0.92349,0.84792,0.49432,0.42254,0.897,0.000609125,0.000609125,0.000609125
23,319.102,0.55839,0.4167,0.94463,0.91385,0.94489,0.93685,0.85654,0.49336,0.41153,0.89831,0.000601512,0.000601512,0.000601512
24,331.944,0.55653,0.42132,0.94367,0.90835,0.9218,0.91921,0.845,0.49369,0.45339,0.89368,0.000593899,0.000593899,0.000593899
25,344.767,0.54904,0.41496,0.94389,0.9147,0.92376,0.92228,0.84855,0.48472,0.44525,0.89328,0.000586286,0.000586286,0.000586286
26,357.651,0.55714,0.41448,0.94458,0.91115,0.92707,0.92789,0.8481,0.48897,0.42159,0.89537,0.000578672,0.000578672,0.000578672
27,370.467,0.55378,0.41613,0.94255,0.92055,0.93291,0.93828,0.85952,0.47832,0.38205,0.89748,0.000571059,0.000571059,0.000571059
28,383.18,0.55045,0.4125,0.93707,0.90573,0.92999,0.92998,0.85362,0.50333,0.43732,0.89668,0.000563446,0.000563446,0.000563446
29,396.087,0.54619,0.40691,0.93938,0.92348,0.93438,0.92659,0.84982,0.50111,0.4304,0.90963,0.000555833,0.000555833,0.000555833
30,408.818,0.54727,0.40928,0.93921,0.91445,0.93705,0.92921,0.85568,0.4992,0.42798,0.91939,0.00054822,0.00054822,0.00054822
31,421.79,0.54699,0.40473,0.93813,0.92103,0.92515,0.92975,0.85532,0.49881,0.40814,0.90724,0.000540607,0.000540607,0.000540607
32,434.865,0.53817,0.3983,0.93556,0.92195,0.93471,0.93309,0.85689,0.49585,0.40661,0.90896,0.000532994,0.000532994,0.000532994
33,447.817,0.53752,0.40037,0.93532,0.91795,0.93868,0.94063,0.85995,0.50133,0.40384,0.91409,0.000525381,0.000525381,0.000525381
34,460.231,0.53443,0.39058,0.93493,0.92774,0.94166,0.92941,0.85434,0.48127,0.40074,0.89301,0.000517768,0.000517768,0.000517768
35,472.848,0.53662,0.39199,0.93486,0.92244,0.9347,0.93212,0.85842,0.48158,0.39517,0.91364,0.000510155,0.000510155,0.000510155
36,485.523,0.53839,0.39053,0.93716,0.92763,0.93789,0.9295,0.86147,0.47737,0.39868,0.91096,0.000502541,0.000502541,0.000502541
37,497.713,0.53129,0.38829,0.93189,0.91795,0.92665,0.92974,0.85564,0.48995,0.43171,0.91434,0.000494928,0.000494928,0.000494928
38,510.355,0.54323,0.40221,0.93926,0.91863,0.89508,0.92785,0.85407,0.48694,0.45096,0.90433,0.000487315,0.000487315,0.000487315
